
Filament No. Dendrite Branch Pts
 ==================== 
Filament No. Dendrite Branch Pts,Unit,Category,Birth [s],Death [s],ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
0.000000,,Filament, 0.000, 0.010, 100000000,100000000,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
3.000000,,Filament, 0.000, 0.010, 100000001,100000001,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
11.000000,,Filament, 0.000, 0.010, 100000002,100000002,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
1.000000,,Filament, 0.000, 0.010, 100000003,100000003,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
0.000000,,Filament, 0.000, 0.010, 100000004,100000004,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
1.000000,,Filament, 0.000, 0.010, 100000005,100000005,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
8.000000,,Filament, 0.000, 0.010, 100000006,100000006,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
0.000000,,Filament, 0.000, 0.010, 100000007,100000007,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
0.000000,,Filament, 0.000, 0.010, 100000008,100000008,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
2.000000,,Filament, 0.000, 0.010, 100000009,100000009,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-46.494],500001,2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 2\2020-05-03_16.55.08_F012_[ims2_2021-06-07T12-28-17.481].ims,
